land;wahlkreis;gruppe;erststimmen;zweitstimmen
1;1;Wahlberechtigte;228471;-
1;1;Wähler;171914;-
1;1;Ungültige;1596;1449
1;1;Gültige;170318;170465
1;1;CDU;68120;58320
1;1;SPD;47711;40388
1;1;GRÜNE;17911;22304
1;1;FDP;11147;18955
1;1;DIE LINKE;12144;14002
1;1;AfD;10583;11653
1;1;NPD;-;349
1;1;FREIE WÄHLER;1947;1195
1;1;MLPD;-;59
1;1;BGE;-;843
1;1;ÖDP;-;297
1;1;Die PARTEI;-;2100
1;1;EB: Krüger-Winands;755;-
1;10;Wahlberechtigte;244930;-
1;10;Wähler;193334;-
1;10;Ungültige;1569;1363
1;10;Gültige;191765;191971
1;10;CDU;75737;66031
1;10;SPD;52171;42815
1;10;GRÜNE;18688;20826
1;10;FDP;15775;26163
1;10;DIE LINKE;9785;12480
1;10;AfD;17435;18792
1;10;NPD;-;492
1;10;FREIE WÄHLER;2174;1264
1;10;MLPD;-;51
1;10;BGE;-;525
1;10;ÖDP;-;422
1;10;Die PARTEI;-;2110
1;11;Wahlberechtigte;181638;-
1;11;Wähler;130961;-
1;11;Ungültige;2228;1167
1;11;Gültige;128733;129794
1;11;CDU;45432;38263
1;11;SPD;43578;32919
1;11;GRÜNE;16785;16568
1;11;FDP;8312;14097
1;11;DIE LINKE;-;12213
1;11;AfD;11137;11539
1;11;NPD;-;351
1;11;FREIE WÄHLER;2535;1091
1;11;MLPD;954;162
1;11;BGE;-;475
1;11;ÖDP;-;266
1;11;Die PARTEI;-;1850
1;2;Wahlberechtigte;186568;-
1;2;Wähler;139194;-
1;2;Ungültige;1297;1123
1;2;Gültige;137897;138071
1;2;CDU;62256;52928
1;2;SPD;34685;31120
1;2;GRÜNE;13026;15144
1;2;FDP;11105;18050
1;2;DIE LINKE;7102;8589
1;2;AfD;8117;9030
1;2;NPD;-;301
1;2;FREIE WÄHLER;1606;867
1;2;MLPD;-;63
1;2;BGE;-;430
1;2;ÖDP;-;173
1;2;Die PARTEI;-;1376
1;3;Wahlberechtigte;176636;-
1;3;Wähler;132017;-
1;3;Ungültige;1134;1139
1;3;Gültige;130883;130878
1;3;CDU;54812;47366
1;3;SPD;34219;29756
1;3;GRÜNE;8791;12960
1;3;FDP;14440;17298
1;3;DIE LINKE;7176;8732
1;3;AfD;10006;11180
1;3;NPD;-;471
1;3;FREIE WÄHLER;1278;1002
1;3;MLPD;161;62
1;3;BGE;-;415
1;3;ÖDP;-;191
1;3;Die PARTEI;-;1445
1;4;Wahlberechtigte;200831;-
1;4;Wähler;157354;-
1;4;Ungültige;1252;1087
1;4;Gültige;156102;156267
1;4;CDU;66625;56585
1;4;SPD;45070;35766
1;4;GRÜNE;13978;19337
1;4;FDP;10077;19071
1;4;DIE LINKE;8074;9962
1;4;AfD;10656;11578
1;4;NPD;-;307
1;4;FREIE WÄHLER;1622;1031
1;4;MLPD;-;55
1;4;BGE;-;584
1;4;ÖDP;-;237
1;4;Die PARTEI;-;1754
1;5;Wahlberechtigte;204650;-
1;5;Wähler;153273;-
1;5;Ungültige;1594;1204
1;5;Gültige;151679;152069
1;5;CDU;46560;40736
1;5;SPD;46991;36208
1;5;GRÜNE;21743;26143
1;5;FDP;11363;17804
1;5;DIE LINKE;11114;15546
1;5;AfD;9283;10504
1;5;NPD;-;250
1;5;FREIE WÄHLER;-;540
1;5;MLPD;266;147
1;5;BGE;-;632
1;5;ÖDP;-;345
1;5;Die PARTEI;4017;3214
1;5;Neue Liberale;342;-
1;6;Wahlberechtigte;174937;-
1;6;Wähler;131713;-
1;6;Ungültige;1224;1199
1;6;Gültige;130489;130514
1;6;CDU;53109;43778
1;6;SPD;37728;31013
1;6;GRÜNE;11736;16350
1;6;FDP;9379;16481
1;6;DIE LINKE;7009;8503
1;6;AfD;10223;11161
1;6;NPD;-;479
1;6;FREIE WÄHLER;1305;749
1;6;MLPD;-;61
1;6;BGE;-;411
1;6;ÖDP;-;186
1;6;Die PARTEI;-;1342
1;7;Wahlberechtigte;238533;-
1;7;Wähler;187715;-
1;7;Ungültige;1620;1343
1;7;Gültige;186095;186372
1;7;CDU;73816;63863
1;7;SPD;56460;42729
1;7;GRÜNE;15379;21336
1;7;FDP;14441;24735
1;7;DIE LINKE;11270;13111
1;7;AfD;14729;15977
1;7;NPD;-;446
1;7;FREIE WÄHLER;-;954
1;7;MLPD;-;52
1;7;BGE;-;541
1;7;ÖDP;-;428
1;7;Die PARTEI;-;2200
1;8;Wahlberechtigte;247296;-
1;8;Wähler;193280;-
1;8;Ungültige;1508;1335
1;8;Gültige;191772;191945
1;8;CDU;78824;66367
1;8;SPD;52434;43027
1;8;GRÜNE;16004;21010
1;8;FDP;15617;26043
1;8;DIE LINKE;10838;13237
1;8;AfD;15682;17166
1;8;NPD;-;463
